Game Turn, Realism, Total CO2, CO2 Bldgs, CO2 Projects, CO2 Routes, CO2 Units, Deforestation, ClimateChange, Volcanoes (Total), NW Volcanoes, Volcanoes (Active), Eruptions, Floodable Rivers, Floods, NaturalWonderEruptions
107, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
108, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 5, 12, 13, 0
109, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 13, 0
109, FLOOD, Severity = 0, Wazalafken River, Floodplain at: (47 - 38), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 2
110, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
110, ENHANCED TILES, At plot: 626, 626,
110, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
111, ENHANCED TILES, At plot: 627, 627,
111, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
111, ENHANCED TILES, At plot: 721, 721,
111, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
111, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
111, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
112, ENHANCED TILES, At plot: 626, 626,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 723, 723,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 531, 531,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 628, 628,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
112, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
112, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
112, ENHANCED TILES, At plot: 626, 626,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 723, 723,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 531, 531,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
112, ENHANCED TILES, At plot: 628, 628,
112, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
112, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
112, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
112, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
113, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
113, ENHANCED TILES, At plot: 627, 627,
113, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
113, ENHANCED TILES, At plot: 721, 721,
113, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
113, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
113, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
113, ENHANCED TILES, At plot: 532, 532,
113, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
113, ENHANCED TILES, At plot: 629, 629,
113, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
113, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
113, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
114, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
114, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
114, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
114, ENHANCED TILES, At plot: 723, 723,
114, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
114, ENHANCED TILES, At plot: 531, 531,
114, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
114, ENHANCED TILES, At plot: 628, 628,
114, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
114, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
114, ENHANCED TILES, At plot: 630, 630,
114, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
114, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
114, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 5, 12, 14, 0
114, ERUPTION, Severity=1, Galunggung, Volcano at: (22 - 23), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 4
115, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
115, ENHANCED TILES, At plot: 532, 532,
115, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
115, ENHANCED TILES, At plot: 629, 629,
115, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
115, ENHANCED TILES, At plot: 631, 631,
115, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
115, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
115, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 6, 12, 14, 0
115, ERUPTION, Severity=0, Galunggung, Volcano at: (22 - 23), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
116, ENHANCED TILES, At plot: 626, 626,
116, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
116, ENHANCED TILES, At plot: 630, 630,
116, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
116, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
116, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 14, 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
117, ENHANCED TILES, At plot: 627, 627,
117, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
117, ENHANCED TILES, At plot: 721, 721,
117, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
117, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
117, ENHANCED TILES, At plot: 631, 631,
117, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
117, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 14, 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (50 - 6), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
118, ENHANCED TILES, At plot: 723, 723,
118, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
118, ENHANCED TILES, At plot: 531, 531,
118, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
118, ENHANCED TILES, At plot: 628, 628,
118, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
118, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
118, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 14, 0
118, FLOOD MITIGATED, Severity=0, Colorado River, Floodplain at: (64 - 21)
118, FLOOD MITIGATED, Severity=0, Colorado River, Floodplain at: (64 - 21)
119, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 6), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (49 - 7), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
119, ENHANCED TILES, At plot: 532, 532,
119, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
119, ENHANCED TILES, At plot: 629, 629,
119, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
119, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
119, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 15, 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
120, ENHANCED TILES, At plot: 630, 630,
120, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
120, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 15, 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 7), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (51 - 5), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 6), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
120, ENHANCED TILES, At plot: 630, 630,
120, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
120, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
120, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 7, 12, 15, 0
121, ONEOFF, Severity = 1, Forest Fire, Center at: (52 - 5), Tiles Damaged = 0
121, ONEOFF, Severity = 1, Forest Fire, Center at: (53 - 6), Tiles Damaged = 0
121, ONEOFF, Severity = 1, Forest Fire, Center at: (54 - 6), Tiles Damaged = 0
121, ENHANCED TILES, At plot: 631, 631,
121, ONEOFF, Severity = 1, Forest Fire, Center at: (55 - 6), Tiles Damaged = 0
