Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
107, CIVILIZATION_MAPUCHE, 5, 27, 17, 11, 6, 0, 0, 0, 56, 12, 140, 168, 49, 31, 15, 12, 61, 76
107, CIVILIZATION_SCOTLAND, 4, 14, 13, 12, 11, 0, 0, 0, 49, 18, 69, 111, 17, 14, 13, 3, 40, 32
107, CIVILIZATION_GRAN_COLOMBIA, 5, 22, 13, 12, 14, 0, 0, 3, 56, 15, 69, 160, 23, 25, 34, 13, 54, 62
107, CIVILIZATION_GREECE, 3, 12, 14, 11, 1, 0, 0, 2, 36, 12, 126, 56, 34, 22, 8, 2, 41, 32
107, CIVILIZATION_AMERICA, 5, 16, 14, 7, 7, 0, 0, 0, 51, 14, 281, 56, 17, 5, 22, 9, 48, 43
107, CIVILIZATION_CANADA, 3, 11, 11, 8, 2, 0, 0, 9, 35, 8, 301, 214, 11, 9, 16, 25, 29, 32
107, CIVILIZATION_KONGO, 5, 26, 15, 9, 3, 0, 0, 0, 51, 10, 214, 87, 30, 10, 16, 4, 54, 77
107, CIVILIZATION_INDONESIA, 3, 11, 13, 8, 3, 0, 0, 15, 34, 3, 44, 42, 11, 6, 10, 8, 23, 36
107, CIVILIZATION_CARDIFF, 1, 9, 14, 11, 6, 0, 0, 0, 8, 7, 339, 0, 5, 4, 4, 0, 5, 23
107, CIVILIZATION_KANDY, 1, 8, 14, 11, 1, 0, 0, 0, 12, 2, 248, 0, 5, 5, 10, 0, 3, 22
107, CIVILIZATION_LISBON, 1, 6, 14, 11, 6, 0, 0, 1, 12, 2, 39, 0, 5, 4, 8, 0, 3, 17
107, CIVILIZATION_RAPA_NUI, 1, 7, 12, 11, 0, 0, 0, 0, 13, 6, 258, 0, 4, 4, 17, 0, 2, 17
107, CIVILIZATION_MOHENJO_DARO, 1, 8, 14, 11, 6, 0, 0, 0, 9, 4, 616, 0, 5, 4, 7, 0, 4, 17
107, CIVILIZATION_ARMAGH, 1, 6, 13, 11, 1, 0, 0, 0, 12, 0, 93, 248, 4, 4, 4, 2, 4, 15
107, CIVILIZATION_HATTUSA, 1, 4, 15, 11, 6, 0, 0, 0, 10, 7, 420, 0, 5, 4, 7, 0, 7, 9
107, CIVILIZATION_SINGAPORE, 1, 7, 14, 11, 6, 0, 0, 0, 9, 8, 390, 114, 4, 4, 8, 1, 6, 17
107, CIVILIZATION_BABYLON, 1, 8, 14, 10, 2, 0, 0, 0, 7, 1, 207, 0, 5, 3, 5, 0, 1, 16
107, CIVILIZATION_LA_VENTA, 1, 5, 14, 11, 7, 0, 0, 0, 9, 5, 196, 517, 4, 4, 9, 12, 2, 13
107, CIVILIZATION_VALLETTA, 1, 8, 14, 11, 4, 0, 0, 0, 7, 6, 172, 0, 6, 3, 10, 0, 1, 24
107, CIVILIZATION_PRESLAV, 1, 4, 15, 11, 6, 0, 0, 0, 7, 3, 461, 0, 4, 4, 5, 0, 4, 9
107, CIVILIZATION_JERUSALEM, 1, 7, 14, 10, 5, 0, 0, 0, 10, 6, 394, 1381, 5, 4, 9, 60, 6, 17
107, CIVILIZATION_FREE_CITIES, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
107, CIVILIZATION_MAYA, 4, 21, 18, 11, 7, 0, 0, 0, 53, 17, 518, 32, 26, 13, 30, 5, 53, 74
107, CIVILIZATION_EGYPT, 4, 18, 14, 12, 12, 0, 0, 0, 49, 11, 580, 396, 29, 15, 86, 8, 49, 49
108, CIVILIZATION_MAPUCHE, 5, 30, 17, 11, 6, 0, 0, 0, 57, 12, 136, 20, 52, 33, 15, 12, 64, 83
108, CIVILIZATION_SCOTLAND, 4, 14, 13, 12, 12, 0, 0, 0, 49, 18, 69, 115, 19, 15, 13, 3, 37, 35
108, CIVILIZATION_GRAN_COLOMBIA, 5, 22, 13, 12, 12, 0, 0, 2, 57, 15, 76, 11, 23, 25, 37, 10, 55, 63
108, CIVILIZATION_GREECE, 3, 12, 14, 11, 1, 0, 0, 2, 36, 12, 126, 59, 34, 22, 8, 2, 41, 32
108, CIVILIZATION_AMERICA, 5, 17, 14, 7, 7, 0, 0, 0, 52, 15, 295, 67, 18, 6, 27, 10, 50, 45
108, CIVILIZATION_CANADA, 3, 11, 11, 8, 2, 0, 0, 10, 36, 8, 308, 70, 11, 9, 16, 25, 29, 32
108, CIVILIZATION_KONGO, 5, 26, 15, 9, 3, 0, 0, 0, 51, 9, 214, 88, 30, 10, 16, 0, 54, 76
108, CIVILIZATION_INDONESIA, 3, 11, 13, 8, 3, 0, 0, 16, 34, 3, 48, 51, 11, 6, 10, 8, 23, 36
108, CIVILIZATION_CARDIFF, 1, 9, 14, 11, 6, 0, 0, 0, 8, 7, 344, 0, 5, 4, 4, 0, 5, 23
108, CIVILIZATION_KANDY, 1, 8, 14, 11, 1, 0, 0, 0, 12, 2, 257, 0, 5, 5, 10, 0, 3, 22
108, CIVILIZATION_LISBON, 1, 6, 14, 11, 6, 0, 0, 1, 12, 2, 47, 0, 5, 4, 8, 0, 3, 17
108, CIVILIZATION_RAPA_NUI, 1, 7, 13, 11, 0, 0, 0, 0, 13, 6, 275, 0, 4, 4, 17, 0, 2, 17
108, CIVILIZATION_MOHENJO_DARO, 1, 8, 14, 11, 6, 0, 0, 0, 9, 4, 622, 0, 5, 4, 7, 0, 4, 17
108, CIVILIZATION_ARMAGH, 1, 6, 13, 11, 1, 0, 0, 0, 12, 0, 96, 250, 4, 4, 4, 2, 4, 15
108, CIVILIZATION_HATTUSA, 1, 4, 16, 11, 6, 0, 0, 0, 10, 7, 376, 0, 5, 4, 7, 0, 7, 9
108, CIVILIZATION_SINGAPORE, 1, 7, 14, 11, 6, 0, 0, 0, 9, 8, 398, 116, 4, 4, 8, 1, 6, 17
108, CIVILIZATION_BABYLON, 1, 8, 14, 10, 2, 0, 0, 0, 7, 1, 210, 0, 5, 3, 5, 0, 1, 16
108, CIVILIZATION_LA_VENTA, 1, 5, 14, 11, 7, 0, 0, 0, 9, 5, 203, 530, 4, 4, 9, 12, 2, 13
108, CIVILIZATION_VALLETTA, 1, 8, 14, 11, 4, 0, 0, 0, 7, 6, 179, 0, 6, 3, 10, 0, 1, 24
108, CIVILIZATION_PRESLAV, 1, 5, 15, 11, 6, 0, 0, 0, 7, 3, 467, 0, 4, 4, 5, 0, 3, 9
108, CIVILIZATION_JERUSALEM, 1, 7, 14, 10, 5, 0, 0, 0, 10, 6, 402, 1442, 5, 4, 9, 60, 6, 17
108, CIVILIZATION_FREE_CITIES, 0, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
108, CIVILIZATION_MAYA, 4, 21, 18, 11, 7, 0, 0, 0, 54, 18, 537, 37, 26, 13, 30, 5, 53, 74
108, CIVILIZATION_EGYPT, 4, 18, 14, 12, 12, 0, 0, 0, 49, 11, 662, 404, 29, 15, 86, 8, 49, 49
109, CIVILIZATION_MAPUCHE, 5, 30, 17, 11, 6, 0, 0, 0, 58, 12, 132, 32, 52, 33, 15, 12, 64, 83
109, CIVILIZATION_SCOTLAND, 4, 15, 13, 12, 12, 0, 0, 0, 50, 19, 70, 118, 22, 15, 13, 3, 42, 34
109, CIVILIZATION_GRAN_COLOMBIA, 5, 22, 13, 12, 12, 0, 0, 2, 57, 15, 83, 22, 23, 25, 37, 10, 55, 63
109, CIVILIZATION_GREECE, 3, 12, 14, 11, 1, 0, 0, 2, 37, 12, 126, 61, 36, 22, 8, 2, 41, 32
109, CIVILIZATION_AMERICA, 5, 17, 15, 8, 6, 0, 0, 0, 54, 15, 310, 79, 16, 9, 28, 11, 57, 50
109, CIVILIZATION_CANADA, 3, 11, 11, 8, 2, 0, 0, 10, 36, 8, 314, 95, 11, 9, 16, 25, 29, 32
109, CIVILIZATION_KONGO, 5, 26, 15, 9, 3, 0, 0, 0, 51, 10, 215, 89, 30, 10, 16, 0, 54, 77
109, CIVILIZATION_INDONESIA, 3, 11, 13, 9, 3, 0, 0, 16, 34, 3, 52, 60, 11, 6, 10, 8, 19, 36
109, CIVILIZATION_CARDIFF, 1, 9, 14, 11, 6, 0, 0, 0, 8, 7, 349, 0, 5, 4, 4, 0, 5, 23
109, CIVILIZATION_KANDY, 1, 8, 14, 11, 1, 0, 0, 0, 12, 2, 267, 0, 5, 5, 10, 0, 3, 22
109, CIVILIZATION_LISBON, 1, 6, 14, 11, 6, 0, 0, 1, 12, 2, 54, 0, 5, 4, 8, 0, 3, 17
109, CIVILIZATION_RAPA_NUI, 1, 7, 14, 11, 0, 0, 0, 0, 13, 6, 293, 0, 4, 4, 17, 0, 2, 17
109, CIVILIZATION_MOHENJO_DARO, 1, 8, 14, 11, 6, 0, 0, 0, 9, 4, 628, 0, 5, 4, 7, 0, 4, 17
109, CIVILIZATION_ARMAGH, 1, 6, 13, 11, 1, 0, 0, 0, 12, 0, 98, 253, 4, 4, 4, 2, 4, 15
109, CIVILIZATION_HATTUSA, 1, 4, 16, 11, 6, 0, 0, 0, 10, 8, 360, 0, 5, 4, 7, 0, 7, 9
109, CIVILIZATION_SINGAPORE, 1, 7, 14, 11, 6, 0, 0, 0, 9, 8, 406, 118, 4, 4, 8, 1, 6, 17
109, CIVILIZATION_BABYLON, 1, 8, 14, 10, 2, 0, 0, 0, 7, 1, 214, 0, 5, 3, 5, 0, 1, 16
109, CIVILIZATION_LA_VENTA, 1, 6, 14, 11, 7, 0, 0, 0, 9, 5, 210, 542, 5, 4, 10, 12, 2, 13
