Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
180, CIVILIZATION_MAPUCHE, 55, 18, 9, 48, 0, 12, 2, 20, 222, 0
180, CIVILIZATION_SCOTLAND, 100, 54, 7, 41, 0, 11, 1, 252, 514, 0
180, CIVILIZATION_GRAN_COLOMBIA, 113, 61, 14, 53, 4, 23, 1, 23, 261, 0
180, CIVILIZATION_GREECE, 62, 24, 8, 20, 0, 4, 2, 6, 223, 0
180, CIVILIZATION_AMERICA, 89, 24, 6, 43, 4, 11, 2, 51, 439, 0
180, CIVILIZATION_CANADA, 74, 43, 7, 19, 10, 11, 3, 22, 156, 0
180, CIVILIZATION_KONGO, 29, 24, 4, 12, 5, 4, 2, 3, 79, 0
180, CIVILIZATION_INDONESIA, 56, 15, 6, 27, 0, 11, 3, 17, 180, 0
180, CIVILIZATION_CARDIFF, 10, 14, 1, 9, 3, 0, 0, 0, 0, 0
180, CIVILIZATION_KANDY, 12, 14, 1, 7, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_LISBON, 13, 14, 2, 8, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_RAPA_NUI, 13, 12, 2, 7, 6, 0, 0, 0, 0, 0
180, CIVILIZATION_ARMAGH, 12, 17, 1, 6, 11, 0, 0, 0, 0, 0
180, CIVILIZATION_HATTUSA, 11, 14, 0, 4, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_SINGAPORE, 11, 14, 0, 8, 5, 0, 0, 0, 0, 0
180, CIVILIZATION_BABYLON, 12, 11, 1, 8, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_LA_VENTA, 12, 14, 1, 5, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_JERUSALEM, 12, 29, 1, 7, 8, 0, 0, 0, 0, 0
180, CIVILIZATION_FREE_CITIES, 14, 2, 0, 5, 0, 0, 0, 0, 0, 0
180, CIVILIZATION_MAYA, 151, 110, 23, 90, 27, 33, 1, 49, 138, 0
180, CIVILIZATION_EGYPT, 160, 102, 17, 55, 63, 41, 2, 566, 682, 0
181, CIVILIZATION_MAPUCHE, 55, 18, 9, 48, 0, 12, 2, 21, 223, 0
181, CIVILIZATION_SCOTLAND, 100, 54, 7, 41, 0, 11, 1, 255, 517, 0
181, CIVILIZATION_GRAN_COLOMBIA, 113, 77, 14, 53, 4, 23, 1, 27, 265, 0
181, CIVILIZATION_GREECE, 62, 26, 8, 20, 0, 4, 2, 9, 226, 0
181, CIVILIZATION_AMERICA, 89, 24, 6, 43, 4, 11, 2, 55, 443, 0
181, CIVILIZATION_CANADA, 74, 43, 7, 19, 10, 11, 3, 23, 157, 0
181, CIVILIZATION_KONGO, 29, 24, 4, 12, 5, 4, 2, 4, 80, 0
181, CIVILIZATION_INDONESIA, 56, 15, 6, 35, 0, 11, 3, 18, 181, 0
181, CIVILIZATION_CARDIFF, 10, 14, 1, 9, 3, 0, 0, 0, 0, 0
181, CIVILIZATION_KANDY, 12, 14, 1, 7, 0, 0, 0, 0, 0, 0
181, CIVILIZATION_LISBON, 13, 14, 2, 8, 0, 0, 0, 0, 0, 0
181, CIVILIZATION_RAPA_NUI, 13, 12, 2, 7, 6, 0, 0, 0, 0, 0
181, CIVILIZATION_ARMAGH, 12, 17, 1, 6, 11, 0, 0, 0, 0, 0
181, CIVILIZATION_HATTUSA, 11, 14, 0, 4, 5, 0, 0, 0, 0, 0
181, CIVILIZATION_SINGAPORE, 11, 14, 0, 8, 5, 0, 0, 0, 0, 0
181, CIVILIZATION_BABYLON, 12, 11, 1, 8, 0, 0, 0, 0, 0, 0
181, CIVILIZATION_LA_VENTA, 12, 14, 1, 5, 9, 0, 0, 0, 0, 0
181, CIVILIZATION_JERUSALEM, 12, 29, 1, 7, 0, 0, 0, 0, 0, 0
181, CIVILIZATION_FREE_CITIES, 14, 2, 0, 5, 0, 0, 0, 0, 0, 0
181, CIVILIZATION_MAYA, 151, 111, 23, 92, 27, 33, 1, 50, 139, 0
181, CIVILIZATION_EGYPT, 160, 102, 18, 55, 91, 41, 2, 578, 694, 0
182, CIVILIZATION_MAPUCHE, 55, 18, 9, 48, 0, 12, 2, 22, 224, 0
182, CIVILIZATION_SCOTLAND, 101, 54, 7, 41, 0, 11, 1, 258, 520, 0
182, CIVILIZATION_GRAN_COLOMBIA, 113, 77, 14, 53, 4, 23, 2, 31, 269, 0
182, CIVILIZATION_GREECE, 62, 26, 8, 20, 0, 4, 2, 12, 229, 0
182, CIVILIZATION_AMERICA, 89, 24, 6, 43, 4, 11, 2, 59, 447, 0
182, CIVILIZATION_CANADA, 74, 48, 7, 19, 10, 11, 3, 24, 158, 0
182, CIVILIZATION_KONGO, 29, 24, 4, 12, 5, 4, 2, 5, 81, 0
182, CIVILIZATION_INDONESIA, 56, 15, 6, 35, 0, 12, 3, 19, 182, 0
182, CIVILIZATION_CARDIFF, 10, 14, 1, 9, 3, 0, 0, 0, 0, 0
182, CIVILIZATION_KANDY, 12, 14, 1, 7, 0, 0, 0, 0, 0, 0
182, CIVILIZATION_LISBON, 13, 14, 2, 8, 0, 0, 0, 0, 0, 0
182, CIVILIZATION_RAPA_NUI, 13, 12, 2, 7, 6, 0, 0, 0, 0, 0
182, CIVILIZATION_ARMAGH, 12, 17, 1, 6, 11, 0, 0, 0, 0, 0
182, CIVILIZATION_HATTUSA, 11, 14, 0, 4, 5, 0, 0, 0, 0, 0
182, CIVILIZATION_SINGAPORE, 11, 14, 0, 8, 5, 0, 0, 0, 0, 0
182, CIVILIZATION_BABYLON, 12, 11, 1, 8, 0, 0, 0, 0, 0, 0
182, CIVILIZATION_LA_VENTA, 12, 14, 1, 5, 9, 0, 0, 0, 0, 0
182, CIVILIZATION_JERUSALEM, 12, 29, 1, 7, 7, 0, 0, 0, 0, 0
182, CIVILIZATION_FREE_CITIES, 14, 2, 0, 5, 0, 0, 0, 0, 0, 0
182, CIVILIZATION_MAYA, 152, 111, 25, 94, 27, 33, 2, 16, 139, 0
182, CIVILIZATION_EGYPT, 161, 102, 18, 55, 133, 41, 3, 489, 694, 0
