Game Turn, Player, Boosted System, Progress
220, 3, CIVIC_OPERA_BALLET, Unstarted
221, 62, CIVIC_COLONIALISM, Unstarted
221, 0, TECH_FLIGHT, Unstarted
221, 0, CIVIC_OPERA_BALLET, Unstarted
224, 0, TECH_PLASTICS, Unstarted
226, 10, TECH_SCIENTIFIC_THEORY, Unstarted
227, 21, TECH_SCIENTIFIC_THEORY, Unstarted
227, 0, CIVIC_MOBILIZATION, Unstarted
228, 20, TECH_SCIENTIFIC_THEORY, Unstarted
229, 0, CIVIC_MASS_MEDIA, In Progress
230, 5, TECH_SCIENTIFIC_THEORY, Unstarted
230, 5, CIVIC_OPERA_BALLET, Unstarted
230, 0, CIVIC_NUCLEAR_PROGRAM, Unstarted
230, 1, TECH_FLIGHT, Unstarted
230, 0, TECH_NANOTECHNOLOGY, Unstarted
231, 20, TECH_MASS_PRODUCTION, In Progress
231, 0, TECH_ADVANCED_BALLISTICS, Unstarted
232, 6, CIVIC_CIVIL_ENGINEERING, Unstarted
233, 7, CIVIC_THE_ENLIGHTENMENT, In Progress
234, 7, TECH_SCIENTIFIC_THEORY, Unstarted
235, 3, TECH_CHEMISTRY, Unstarted
236, 1, CIVIC_NATURAL_HISTORY, Unstarted
236, 1, CIVIC_SCORCHED_EARTH, Unstarted
237, 4, CIVIC_COLONIALISM, Unstarted
237, 5, CIVIC_COLONIALISM, Unstarted
237, 11, CIVIC_COLONIALISM, Unstarted
237, 13, CIVIC_COLONIALISM, Unstarted
237, 19, CIVIC_COLONIALISM, Unstarted
237, 20, CIVIC_COLONIALISM, Unstarted
237, 21, CIVIC_COLONIALISM, Unstarted
237, 24, CIVIC_COLONIALISM, Unstarted
238, 6, CIVIC_COLONIALISM, Unstarted
238, 12, CIVIC_COLONIALISM, Unstarted
238, 18, CIVIC_COLONIALISM, Unstarted
239, 3, TECH_SCIENTIFIC_THEORY, Unstarted
239, 7, CIVIC_COLONIALISM, Unstarted
241, 1, TECH_COMBUSTION, Unstarted
