Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
220, Great Person Activated, GREAT_PERSON_INDIVIDUAL_DMITRI_MENDELEEV, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 2
220, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_YOUNG, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 3
220, Granted to Player, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 154, 5, 220
220, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 240, -1, -1
220, Granted to Player, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, ERA_RENAISSANCE, 240, 1, 220
220, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ADA_LOVELACE, GREAT_PERSON_CLASS_ENGINEER, ERA_INDUSTRIAL, 545, -1, -1
221, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MIMAR_SINAN, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 5
221, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 0
222, Great Person Activated, GREAT_PERSON_INDIVIDUAL_ANDREY_RUBLEV, GREAT_PERSON_CLASS_ARTIST, Era TBD, 0
223, Granted to Player, GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, 3, 223
223, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, -1, -1
224, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH, GREAT_PERSON_CLASS_ARTIST, Era TBD, 3
225, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH, GREAT_PERSON_CLASS_ARTIST, Era TBD, 3
225, Granted to Player, GREAT_PERSON_INDIVIDUAL_MICHELANGELO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, 1, 225
225, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_DONATELLO, GREAT_PERSON_CLASS_ARTIST, ERA_RENAISSANCE, 240, -1, -1
225, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
225, Granted to Player, GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER, GREAT_PERSON_CLASS_MERCHANT, ERA_RENAISSANCE, 192, 0, 225
225, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL, GREAT_PERSON_CLASS_MERCHANT, ERA_RENAISSANCE, 240, -1, -1
225, Granted to Player, GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL, GREAT_PERSON_CLASS_MERCHANT, ERA_RENAISSANCE, 240, 0, 225
225, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOHN_SPILSBURY, GREAT_PERSON_CLASS_MERCHANT, ERA_INDUSTRIAL, 545, -1, -1
225, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAKOB_FUGGER, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 0
226, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HIERONYMUS_BOSCH, GREAT_PERSON_CLASS_ARTIST, Era TBD, 3
226, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
226, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 0
227, Great Person Activated, GREAT_PERSON_INDIVIDUAL_FILIPPO_BRUNELLESCHI, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 1
228, Great Person Activated, GREAT_PERSON_INDIVIDUAL_CHARLES_DARWIN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 0
229, Great Person Activated, GREAT_PERSON_INDIVIDUAL_GIOVANNI_DE_MEDICI, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 1
232, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 310, 0, 232
232, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, -1, -1
232, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARGARET_CAVENDISH, GREAT_PERSON_CLASS_WRITER, Era TBD, 0
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARIE_CATHERINE_D_AULNOY, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, 4, 233
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, -1, -1
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_NICCOLO_MACHIAVELLI, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, 5, 233
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, -1, -1
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_FRANCIS_DRAKE, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 248, 6, 233
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 240, -1, -1
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_YI_SUN_SIN, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 192, 7, 233
233, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_FERDINAND_MAGELLAN, GREAT_PERSON_CLASS_ADMIRAL, ERA_RENAISSANCE, 240, -1, -1
233, Granted to Player, GREAT_PERSON_INDIVIDUAL_MIGUEL_DE_CERVANTES, GREAT_PERSON_CLASS_WRITER, ERA_RENAISSANCE, 240, 1, 233
