Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
220, Token used by 5, 5, 12, 7
222, Token used by 6, 6, 18, 2
223, Token used by 3, 3, 19, 1
225, Token used by 5, 5, 20, 2
225, Token used by 0, 0, 13, 1
225, Token used by 0, 0, 13, 2
225, Token used by 0, 0, 13, 3
230, Token used by 4, 4, 12, 4
232, Token used by 0, 0, 13, 4
232, Token used by 0, 0, 13, 5
232, Token used by 0, 0, 13, 6
232, Unique Bonus received by 0, 0, 13, 6
232, Token used by 1, 1, 19, 4
232, Token used by 1, 1, 19, 5
232, Unique Bonus received by 1, 1, 19, 5
232, Token used by 1, 1, 19, 6
232, Token used by 1, 1, 19, 7
232, Token used by 0, 0, 19, 5
232, Token used by 0, 0, 19, 6
232, Token used by 0, 0, 19, 7
232, Token used by 0, 0, 19, 8
232, Unique Bonus received by 0, 0, 19, 8
232, Token used by 0, 0, 19, 9
233, Token used by 4, 4, 13, 6
233, Token used by 4, 4, 24, 5
233, Token used by 0, 0, 13, 7
233, Unique Bonus received by 0, 0, 13, 7
237, Token used by 0, 0, 20, 5
237, Unique Bonus received by 0, 0, 20, 5
238, Token used by 2, 2, 18, 5
238, Token used by 4, 4, 12, 5
238, Token used by 1, 1, 18, 8
238, Token used by 1, 1, 18, 9
238, Unique Bonus received by 1, 1, 18, 9
239, Token used by 4, 4, 21, 6
239, Token used by 4, 4, 21, 7
239, Token used by 1, 1, 21, 8
239, Unique Bonus received by 1, 1, 21, 8
240, Token used by 9, 9, 11, 6
241, Token used by 2, 2, 18, 6
241, Token used by 3, 3, 16, 5
241, Token used by 6, 6, 13, 4
