Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
220, CIVILIZATION_MAPUCHE, 5, 34, 34, 21, 0, 0, 0, 0, 68, 10, 0, 360, 70, 46, 17, 12, 73, 89
220, CIVILIZATION_SCOTLAND, 9, 40, 31, 20, 4, 0, 0, 0, 121, 19, 107, 1291, 74, 43, 27, 45, 88, 106
220, CIVILIZATION_GRAN_COLOMBIA, 9, 56, 33, 23, 4, 0, 0, 0, 123, 22, 132, 539, 83, 56, 54, 74, 151, 156
220, CIVILIZATION_GREECE, 4, 18, 31, 20, 3, 0, 0, 0, 63, 7, 253, 555, 82, 30, 68, 7, 65, 45
220, CIVILIZATION_AMERICA, 8, 46, 31, 20, 1, 0, 0, 2, 122, 28, 0, 699, 60, 34, 31, 23, 111, 133
220, CIVILIZATION_CANADA, 6, 30, 31, 19, 0, 0, 0, 7, 99, 20, 209, 357, 86, 40, 69, 90, 95, 73
220, CIVILIZATION_INDONESIA, 4, 21, 28, 20, 0, 0, 0, 7, 59, 5, 329, 560, 46, 36, 61, 25, 45, 65
220, CIVILIZATION_CARDIFF, 1, 10, 32, 17, 1, 0, 0, 0, 12, 7, 199, 22, 6, 4, 8, 0, 7, 37
220, CIVILIZATION_KANDY, 1, 9, 32, 23, 4, 0, 0, 1, 13, 2, 0, 24, 5, 5, 9, 0, 3, 27
220, CIVILIZATION_LISBON, 1, 12, 32, 22, 0, 0, 0, 0, 14, 7, 990, 1088, 8, 5, 24, 35, 3, 34
220, CIVILIZATION_RAPA_NUI, 1, 10, 32, 22, 5, 0, 0, 0, 13, 7, 486, 35, 6, 4, 20, 0, 2, 28
220, CIVILIZATION_ARMAGH, 1, 10, 32, 23, 0, 0, 0, 0, 12, 6, 269, 1073, 7, 5, 9, 20, 5, 26
220, CIVILIZATION_HATTUSA, 1, 6, 32, 22, 4, 0, 0, 0, 15, 9, 63, 0, 5, 4, 6, 0, 10, 13
220, CIVILIZATION_SINGAPORE, 1, 11, 32, 23, 5, 0, 0, 0, 11, 10, 0, 305, 6, 5, 11, 1, 6, 25
220, CIVILIZATION_BABYLON, 1, 11, 32, 16, 1, 0, 0, 0, 12, 6, 39, 0, 6, 3, 6, 0, 2, 30
220, CIVILIZATION_LA_VENTA, 1, 8, 32, 17, 2, 0, 0, 0, 13, 5, 89, 3498, 7, 4, 10, 48, 3, 20
220, CIVILIZATION_JERUSALEM, 1, 9, 32, 23, 4, 0, 0, 0, 12, 8, 0, 13405, 7, 5, 8, 119, 8, 19
220, CIVILIZATION_FREE_CITIES, 2, 8, 31, 20, 4, 0, 0, 0, 18, 1, 0, 0, 2, 1, 1, 0, 4, 23
220, CIVILIZATION_MAYA, 12, 116, 46, 29, 10, 0, 0, 0, 221, 57, 3574, 3508, 235, 116, 272, 146, 431, 334
220, CIVILIZATION_EGYPT, 10, 79, 41, 28, 11, 0, 0, 1, 206, 52, 6243, 1970, 163, 133, 519, 49, 310, 218
221, CIVILIZATION_MAPUCHE, 5, 34, 34, 21, 0, 0, 0, 0, 68, 10, 0, 372, 70, 46, 17, 12, 73, 89
221, CIVILIZATION_SCOTLAND, 9, 40, 31, 20, 4, 0, 0, 0, 121, 19, 103, 1340, 77, 45, 27, 48, 99, 102
221, CIVILIZATION_GRAN_COLOMBIA, 9, 56, 33, 23, 5, 0, 0, 0, 123, 22, 131, 93, 83, 56, 59, 74, 151, 156
221, CIVILIZATION_GREECE, 5, 20, 31, 20, 3, 0, 0, 0, 70, 7, 276, 162, 85, 32, 69, 7, 71, 50
221, CIVILIZATION_AMERICA, 8, 46, 32, 20, 1, 0, 0, 1, 122, 28, 0, 723, 64, 34, 31, 23, 109, 131
