Turn, Event, Origin Civ, Destination Civ, Total Tokens Given
63, Token used by 1, 1, 24, 2
63, Token used by 1, 1, 24, 3
63, Unique Bonus received by 1, 1, 24, 3
63, Token used by 1, 1, 24, 4
74, Token used by 2, 2, 15, 2
74, Token used by 3, 3, 16, 2
74, Token used by 9, 9, 20, 1
75, Token used by 9, 9, 18, 1
78, Token used by 9, 9, 11, 5
80, Token used by 6, 6, 12, 5
83, Token used by 4, 4, 21, 1
84, Token used by 5, 5, 15, 3
84, Unique Bonus received by 5, 5, 15, 3
85, Token used by 1, 1, 24, 5
85, Token used by 1, 1, 24, 6
86, Token used by 3, 3, 16, 5
88, Token used by 0, 0, 22, 1
89, Token used by 2, 2, 19, 1
89, Token used by 6, 6, 12, 6
90, Token used by 4, 4, 13, 2
91, Token used by 4, 4, 13, 3
91, Unique Bonus received by 4, 4, 13, 3
91, Token used by 5, 5, 10, 2
92, Token used by 1, 1, 18, 1
92, Token used by 1, 1, 18, 2
92, Token used by 1, 1, 18, 3
92, Unique Bonus received by 1, 1, 18, 3
95, Token used by 4, 4, 13, 4
96, Token used by 4, 4, 13, 5
98, Token used by 5, 5, 15, 4
98, Token used by 8, 8, 11, 2
101, Token used by 7, 7, 21, 1
101, Token used by 7, 7, 21, 2
101, Token used by 9, 9, 11, 6
102, Token used by 5, 5, 21, 1
104, Token used by 1, 1, 18, 4
