Game Turn, Player, Score, CATEGORY_CIVICS, CATEGORY_EMPIRE, CATEGORY_GREAT_PEOPLE, CATEGORY_RELIGION, CATEGORY_TECH, CATEGORY_WONDER, CATEGORY_TRADE, CATEGORY_PILLAGE, CATEGORY_INCOME, CATEGORY_SCENARIO1, CATEGORY_SCENARIO2, CATEGORY_SCENARIO3, CATEGORY_E
63, 2, 101, 18, 37, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 30
63, 3, 61, 18, 18, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 11
63, 4, 114, 15, 28, 10, 10, 8, 15, 0, 0, 0, 0, 0, 0, 28
63, 5, 56, 15, 18, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 11
63, 6, 46, 12, 16, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8
63, 7, 49, 15, 14, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
63, 8, 72, 15, 33, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 8
63, 9, 59, 15, 20, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 14
63, 10, 42, 18, 14, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
63, 11, 38, 18, 12, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
63, 12, 31, 12, 11, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
63, 13, 36, 12, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 14, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
63, 15, 47, 21, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
63, 16, 43, 18, 15, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
63, 17, 34, 12, 10, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 18, 41, 18, 11, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 19, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 20, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
63, 21, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
63, 22, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 23, 42, 18, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
63, 24, 42, 18, 14, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
63, 62, 8, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
63, 63, 31, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0
63, 0, 66, 12, 27, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
63, 1, 59, 15, 20, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
64, 2, 101, 18, 37, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 30
64, 3, 69, 18, 25, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12
64, 4, 117, 15, 28, 10, 10, 10, 15, 0, 0, 0, 0, 0, 0, 29
64, 5, 66, 15, 24, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
64, 6, 46, 12, 16, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8
64, 7, 52, 15, 14, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 11
64, 8, 73, 15, 33, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9
64, 9, 58, 15, 19, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 14
64, 10, 42, 18, 14, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
64, 11, 38, 18, 12, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
64, 12, 34, 15, 11, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
64, 13, 39, 15, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 14, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
64, 15, 47, 21, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
64, 16, 45, 18, 15, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 17, 34, 12, 10, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 18, 41, 18, 11, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 19, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 20, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
64, 21, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
64, 22, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 23, 42, 18, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
64, 24, 43, 18, 15, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
64, 62, 11, 9, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
64, 63, 31, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0
64, 0, 66, 12, 27, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
64, 1, 62, 15, 20, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
65, 2, 104, 18, 40, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 30
65, 3, 70, 18, 26, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 12
65, 4, 117, 15, 28, 10, 10, 10, 15, 0, 0, 0, 0, 0, 0, 29
65, 5, 66, 15, 24, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
65, 6, 46, 12, 16, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8
65, 7, 53, 15, 14, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
65, 8, 73, 15, 33, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 9
65, 9, 58, 15, 19, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 14
65, 10, 44, 18, 14, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 11, 38, 18, 12, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
65, 12, 37, 18, 11, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
65, 13, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 14, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
65, 15, 47, 21, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
65, 16, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
65, 17, 34, 12, 10, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 18, 41, 18, 11, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 19, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 20, 45, 18, 13, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
65, 21, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
65, 22, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 23, 42, 18, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
65, 24, 43, 18, 15, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0
65, 62, 14, 12, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
65, 63, 31, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0
65, 0, 71, 12, 32, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
65, 1, 68, 18, 20, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 18
66, 2, 106, 18, 40, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 30
66, 3, 72, 18, 26, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 12
66, 4, 117, 15, 28, 10, 10, 10, 15, 0, 0, 0, 0, 0, 0, 29
66, 5, 66, 15, 24, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 15
66, 6, 46, 12, 16, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 8
66, 7, 53, 15, 14, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
66, 8, 77, 15, 35, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 9
66, 9, 60, 15, 19, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 14
66, 10, 46, 18, 14, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 11, 39, 18, 13, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
66, 12, 37, 18, 11, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0
66, 13, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 14, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 15, 47, 21, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 16, 47, 18, 15, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 17, 34, 12, 10, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 18, 41, 18, 11, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 19, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 20, 45, 18, 13, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 21, 44, 18, 12, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0
66, 22, 43, 18, 13, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 23, 42, 18, 12, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 24, 45, 18, 15, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0
66, 62, 14, 12, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0
66, 63, 31, 15, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0
66, 0, 78, 12, 33, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 19
66, 1, 71, 18, 20, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 19
67, 2, 107, 18, 41, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 30
67, 3, 72, 18, 26, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 12
