Game Turn, Realism, Total CO2, CO2 Bldgs, CO2 Projects, CO2 Routes, CO2 Units, Deforestation, ClimateChange, Volcanoes (Total), NW Volcanoes, Volcanoes (Active), Eruptions, Floodable Rivers, Floods, NaturalWonderEruptions
63, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
64, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
64, DROUGHT, Severity = 1, Withering Drought, Center at: (39 - 20), Tiles Damaged = 4
65, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
66, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
67, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
68, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
69, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
70, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
71, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
71, DROUGHT, Severity = 0, Major Drought, Center at: (65 - 44), Tiles Damaged = 2
72, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
73, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
74, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
75, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
75, ENHANCED TILES, At plot: 3692, 3692,3788,3787,
75, STORM, Severity = 1, Gradient Dust Storm, Center at: (44 - 38), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 3
76, ENHANCED TILES, At plot: 3787, 3787,3884,
76, ENHANCED TILES, At plot: 3883, 3979,
76, ENHANCED TILES, At plot: 3977, 4074,
76, STORM, Severity = 1, Gradient Dust Storm, Center at: (41 - 41), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 4
76, STORM MOVEMENT, 3787,3883,3882,3977,
76, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
77, ENHANCED TILES, At plot: 3981, 4078,
77, STORM, Severity = 1, Gradient Dust Storm, Center at: (45 - 41), Tiles Damaged = 0, Pop Lost = 0, Units Killed = 0, Fertility Added = 1
77, STORM MOVEMENT, 3978,3979,3980,3981,
77, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 2, 11, 10, 0
77, ERUPTION, Severity=2, Nevado del Ruiz, Volcano at: (70 - 35), Tiles Damaged = 0, Pop Lost = 1, Units Killed = 0, Fertility Added = 8
78, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 3, 11, 10, 0
78, STORM, Severity = 2, Tornado Outbreak, Center at: (64 - 35), Tiles Damaged = 1, Pop Lost = 1, Units Killed = 0, Fertility Added = 0
79, STORM, Severity = 2, Tornado Outbreak, Center at: (60 - 34), Tiles Damaged = 1, Pop Lost = 1, Units Killed = 0, Fertility Added = 0
79, STORM MOVEMENT, 3423,3327,3230,3229,3325,3324,
79, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 3, 11, 10, 0
80, STORM, Severity = 2, Tornado Outbreak, Center at: (55 - 33), Tiles Damaged = 3, Pop Lost = 0, Units Killed = 0, Fertility Added = 0
80, STORM MOVEMENT, 3323,3418,3322,3321,3224,3320,3223,
80, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 3, 11, 10, 0
81, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 3, 11, 10, 0
82, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 3, 11, 10, 0
