Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
63, CIVILIZATION_MAPUCHE, 4, 13, 8, 6, 5, 0, 0, 0, 36, 8, 264, 186, 12, 11, 9, 8, 33, 43
63, CIVILIZATION_SCOTLAND, 2, 5, 7, 6, 4, 0, 0, 0, 23, 5, 120, 15, 5, 8, 14, 2, 15, 17
63, CIVILIZATION_GRAN_COLOMBIA, 3, 9, 5, 5, 7, 0, 0, 0, 32, 4, 313, 65, 7, 7, 23, 2, 26, 26
63, CIVILIZATION_GREECE, 2, 6, 6, 5, 6, 0, 0, 0, 21, 5, 207, 27, 5, 6, 7, 1, 25, 17
63, CIVILIZATION_AMERICA, 2, 5, 5, 4, 3, 0, 0, 0, 21, 5, 228, 84, 4, 3, 14, 1, 19, 16
63, CIVILIZATION_CANADA, 1, 4, 6, 5, 2, 0, 0, 2, 13, 5, 150, 212, 4, 4, 12, 14, 13, 12
63, CIVILIZATION_KONGO, 3, 12, 8, 5, 5, 0, 0, 0, 28, 5, 73, 9, 12, 4, 7, 1, 27, 36
63, CIVILIZATION_INDONESIA, 2, 8, 5, 5, 4, 0, 0, 6, 22, 2, 127, 35, 6, 5, 12, 8, 12, 24
63, CIVILIZATION_CARDIFF, 1, 6, 5, 6, 6, 0, 0, 0, 7, 2, 125, 0, 4, 4, 4, 0, 5, 15
63, CIVILIZATION_KANDY, 1, 5, 4, 6, 0, 0, 0, 1, 10, 1, 191, 0, 4, 4, 5, 0, 3, 14
63, CIVILIZATION_LISBON, 1, 4, 4, 5, 6, 0, 0, 0, 8, 0, 200, 0, 4, 2, 6, 0, 3, 11
63, CIVILIZATION_RAPA_NUI, 1, 5, 6, 5, 5, 0, 0, 0, 9, 2, 157, 0, 4, 2, 8, 0, 2, 12
63, CIVILIZATION_MOHENJO_DARO, 1, 7, 7, 6, 6, 0, 0, 0, 9, 4, 374, 0, 4, 4, 6, 0, 4, 19
63, CIVILIZATION_CAGUANA, 1, 4, 7, 7, 5, 0, 0, 0, 9, 5, 185, 0, 4, 6, 8, 0, 5, 8
63, CIVILIZATION_ARMAGH, 1, 5, 6, 6, 5, 0, 0, 0, 9, 1, 320, 113, 4, 4, 4, 5, 3, 13
63, CIVILIZATION_HONG_KONG, 1, 4, 6, 4, 6, 0, 0, 0, 8, 0, 160, 0, 4, 3, 5, 0, 3, 12
63, CIVILIZATION_HATTUSA, 1, 3, 6, 6, 6, 0, 0, 0, 7, 5, 388, 0, 4, 3, 5, 0, 5, 7
63, CIVILIZATION_SINGAPORE, 1, 5, 6, 6, 6, 0, 0, 0, 9, 2, 153, 60, 4, 4, 4, 0, 4, 13
63, CIVILIZATION_BABYLON, 1, 6, 7, 6, 2, 0, 0, 0, 7, 0, 301, 0, 4, 2, 4, 0, 1, 16
63, CIVILIZATION_LA_VENTA, 1, 4, 7, 6, 5, 0, 0, 0, 7, 4, 140, 153, 5, 4, 5, 8, 2, 10
63, CIVILIZATION_VALLETTA, 1, 6, 6, 6, 2, 0, 0, 0, 7, 3, 197, 0, 4, 2, 5, 0, 2, 23
63, CIVILIZATION_PRESLAV, 1, 4, 6, 6, 6, 0, 0, 0, 7, 3, 220, 0, 4, 4, 5, 0, 4, 9
63, CIVILIZATION_JERUSALEM, 1, 5, 5, 6, 4, 0, 0, 0, 8, 3, 268, 60, 4, 2, 5, 3, 4, 14
63, CIVILIZATION_FREE_CITIES, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_MAYA, 3, 6, 6, 4, 4, 0, 0, 0, 29, 8, 64, 12, 7, 4, 16, 0, 19, 24
