Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
63, CIVILIZATION_MAPUCHE, 36, 11, 1, 10, 3, 0, 0, 44, 44, 0
63, CIVILIZATION_SCOTLAND, 23, 12, 0, 3, 0, 0, 0, 38, 38, 0
63, CIVILIZATION_GRAN_COLOMBIA, 32, 14, 0, 7, 3, 10, 0, 12, 12, 0
63, CIVILIZATION_GREECE, 21, 11, 0, 4, 2, 0, 0, 0, 0, 0
63, CIVILIZATION_AMERICA, 21, 10, 0, 3, 4, 0, 0, 0, 0, 0
63, CIVILIZATION_CANADA, 13, 16, 1, 3, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_KONGO, 28, 11, 2, 9, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_INDONESIA, 22, 15, 0, 6, 0, 0, 0, 14, 14, 0
63, CIVILIZATION_CARDIFF, 7, 12, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_KANDY, 10, 11, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_LISBON, 8, 11, 0, 3, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_RAPA_NUI, 9, 11, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_MOHENJO_DARO, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_CAGUANA, 9, 12, 0, 3, 3, 0, 0, 0, 0, 0
63, CIVILIZATION_ARMAGH, 9, 12, 1, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_HONG_KONG, 8, 10, 0, 3, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_HATTUSA, 7, 12, 0, 2, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_SINGAPORE, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_BABYLON, 7, 10, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_LA_VENTA, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_VALLETTA, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_PRESLAV, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_JERUSALEM, 8, 11, 1, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_MAYA, 29, 11, 2, 4, 0, 0, 0, 0, 0, 0
63, CIVILIZATION_EGYPT, 23, 11, 0, 6, 0, 0, 0, 23, 23, 0
64, CIVILIZATION_MAPUCHE, 36, 11, 1, 10, 3, 0, 0, 16, 44, 0
64, CIVILIZATION_SCOTLAND, 30, 12, 0, 5, 0, 0, 0, 70, 70, 0
64, CIVILIZATION_GRAN_COLOMBIA, 32, 14, 0, 7, 3, 11, 0, 13, 13, 0
64, CIVILIZATION_GREECE, 29, 11, 0, 5, 2, 0, 0, 0, 0, 0
64, CIVILIZATION_AMERICA, 21, 10, 0, 3, 4, 0, 0, 0, 0, 0
64, CIVILIZATION_CANADA, 14, 16, 1, 3, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_KONGO, 28, 11, 2, 9, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_INDONESIA, 22, 15, 0, 5, 0, 0, 0, 15, 15, 0
64, CIVILIZATION_CARDIFF, 7, 12, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_KANDY, 10, 11, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_LISBON, 8, 11, 0, 3, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_RAPA_NUI, 9, 11, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_MOHENJO_DARO, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_CAGUANA, 9, 12, 0, 3, 3, 0, 0, 0, 0, 0
64, CIVILIZATION_ARMAGH, 9, 12, 1, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_HONG_KONG, 8, 10, 0, 3, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_HATTUSA, 7, 12, 0, 2, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_SINGAPORE, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_BABYLON, 7, 10, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_LA_VENTA, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_VALLETTA, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_PRESLAV, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_JERUSALEM, 10, 12, 1, 4, 3, 0, 0, 0, 0, 0
64, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_MAYA, 30, 11, 2, 4, 0, 0, 0, 0, 0, 0
64, CIVILIZATION_EGYPT, 24, 11, 0, 6, 8, 0, 0, 25, 25, 0
65, CIVILIZATION_MAPUCHE, 36, 11, 2, 11, 4, 0, 0, 18, 46, 0
65, CIVILIZATION_SCOTLAND, 30, 12, 0, 8, 0, 0, 0, 72, 72, 0
65, CIVILIZATION_GRAN_COLOMBIA, 33, 14, 0, 7, 3, 11, 0, 14, 14, 0
65, CIVILIZATION_GREECE, 29, 11, 0, 5, 2, 0, 0, 0, 0, 0
65, CIVILIZATION_AMERICA, 21, 10, 0, 3, 4, 0, 0, 0, 0, 0
65, CIVILIZATION_CANADA, 14, 16, 1, 3, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_KONGO, 28, 11, 2, 9, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_INDONESIA, 22, 15, 0, 5, 0, 0, 0, 16, 16, 0
65, CIVILIZATION_CARDIFF, 7, 12, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_KANDY, 10, 11, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_LISBON, 8, 11, 0, 3, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_RAPA_NUI, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_MOHENJO_DARO, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_CAGUANA, 9, 12, 0, 3, 3, 0, 0, 0, 0, 0
65, CIVILIZATION_ARMAGH, 9, 12, 1, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_HONG_KONG, 8, 10, 0, 3, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_HATTUSA, 7, 12, 0, 2, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_SINGAPORE, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_BABYLON, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_LA_VENTA, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_VALLETTA, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_PRESLAV, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_JERUSALEM, 10, 12, 1, 4, 3, 0, 0, 0, 0, 0
65, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_MAYA, 30, 11, 4, 5, 0, 0, 0, 0, 0, 0
65, CIVILIZATION_EGYPT, 24, 11, 0, 6, 10, 0, 0, 28, 28, 0
66, CIVILIZATION_MAPUCHE, 37, 11, 2, 11, 4, 0, 0, 20, 48, 0
66, CIVILIZATION_SCOTLAND, 30, 12, 0, 8, 0, 0, 0, 74, 74, 0
66, CIVILIZATION_GRAN_COLOMBIA, 33, 14, 0, 7, 3, 11, 0, 15, 15, 0
66, CIVILIZATION_GREECE, 29, 11, 0, 5, 2, 0, 0, 0, 0, 0
66, CIVILIZATION_AMERICA, 21, 10, 0, 3, 4, 0, 0, 0, 0, 0
66, CIVILIZATION_CANADA, 14, 16, 1, 3, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_KONGO, 29, 11, 2, 11, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_INDONESIA, 22, 15, 0, 5, 0, 0, 0, 17, 17, 0
66, CIVILIZATION_CARDIFF, 7, 12, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_KANDY, 10, 12, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_LISBON, 10, 11, 0, 3, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_RAPA_NUI, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_MOHENJO_DARO, 9, 12, 0, 6, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_CAGUANA, 9, 12, 0, 3, 3, 0, 0, 0, 0, 0
66, CIVILIZATION_ARMAGH, 9, 12, 1, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_HONG_KONG, 8, 10, 0, 3, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_HATTUSA, 7, 12, 0, 2, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_SINGAPORE, 9, 12, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_BABYLON, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_LA_VENTA, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_VALLETTA, 7, 11, 0, 4, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_PRESLAV, 7, 12, 0, 3, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_JERUSALEM, 10, 12, 1, 4, 3, 0, 0, 0, 0, 0
66, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_MAYA, 31, 11, 4, 6, 0, 0, 0, 0, 0, 0
66, CIVILIZATION_EGYPT, 24, 11, 0, 6, 10, 0, 0, 31, 31, 0
67, CIVILIZATION_MAPUCHE, 37, 11, 2, 11, 4, 0, 0, 22, 50, 0
67, CIVILIZATION_SCOTLAND, 30, 12, 0, 8, 0, 0, 0, 76, 76, 0
67, CIVILIZATION_GRAN_COLOMBIA, 34, 14, 0, 7, 3, 11, 0, 16, 16, 0
67, CIVILIZATION_GREECE, 29, 11, 0, 6, 2, 0, 0, 0, 0, 0
67, CIVILIZATION_AMERICA, 21, 10, 0, 4, 4, 0, 0, 1, 1, 0
67, CIVILIZATION_CANADA, 14, 16, 1, 3, 0, 0, 0, 0, 0, 0
67, CIVILIZATION_KONGO, 29, 11, 2, 11, 0, 0, 0, 0, 0, 0
